ClaimID,LossDate,ReportDate,State,City,Status,ClaimAmount,FraudScore,Adjuster,PolicyType
C10000191,18-May-25,21-May-25,NY,New York,Closed,6359,0.620000005,AJ20,Auto
C10000459,10-Jun-25,11-Jun-25,NY,New York,Closed,9879,0.910000026,AJ20,Auto
C10000500,7-Jan-25,8-Jan-25,NY,New York,Closed,9645,0.839999974,AJ20,Auto
C10000928,27-Apr-25,27-Apr-25,NY,New York,Closed,6680,0.629999995,AJ20,Auto
C10001017,20-Mar-25,20-Mar-25,NY,New York,Closed,11378,0.600000024,AJ20,Auto
C10001268,1-Jan-25,2-Jan-25,NY,New York,Closed,8115,0.730000019,AJ20,Auto
C10001321,29-Jun-25,30-Jun-25,NY,New York,Closed,6071,0.319999993,AJ20,Auto
C10002284,6-Apr-25,7-Apr-25,NY,New York,Closed,4205,0.600000024,AJ20,Auto
C10002291,29-Apr-25,1-May-25,NY,New York,Closed,5116,0.479999989,AJ20,Auto
C10002678,7-Apr-25,8-Apr-25,NY,New York,Closed,5682,0.709999979,AJ20,Auto
C10002834,25-Feb-25,27-Feb-25,NY,New York,Closed,1849,0.829999983,AJ20,Auto
C10002906,6-Feb-25,7-Feb-25,NY,New York,Closed,5506,0.680000007,AJ20,Auto
C10003386,27-Apr-25,30-Apr-25,NY,New York,Closed,6560,0.189999998,AJ20,Auto
C10003936,1-Jan-25,1-Jan-25,NY,New York,Closed,10215,0.230000004,AJ20,Auto
C10003995,30-May-25,31-May-25,NY,New York,Closed,10099,0.280000001,AJ20,Auto
C10004522,21-Jun-25,21-Jun-25,NY,New York,Closed,6911,0.479999989,AJ20,Auto
C10004869,22-Feb-25,25-Feb-25,NY,New York,Closed,3875,0.430000007,AJ20,Auto
C10004917,22-Jun-25,23-Jun-25,NY,New York,Closed,8197,0.349999994,AJ20,Auto
C10005147,18-Mar-25,21-Mar-25,NY,New York,Closed,1863,0.899999976,AJ20,Auto
C10005171,28-Apr-25,30-Apr-25,NY,New York,Closed,9088,0.230000004,AJ20,Auto
C10005230,11-May-25,12-May-25,NY,New York,Closed,3217,0.639999986,AJ20,Auto
C10005313,12-Feb-25,13-Feb-25,NY,New York,Closed,5210,0.939999998,AJ20,Auto
C10005325,17-Feb-25,19-Feb-25,NY,New York,Closed,5462,0.75999999,AJ20,Auto
C10005455,6-May-25,6-May-25,NY,New York,Closed,11213,0.769999981,AJ20,Auto
C10005880,22-Jun-25,24-Jun-25,NY,New York,Closed,10583,0.649999976,AJ20,Auto
C10006761,29-Apr-25,1-May-25,NY,New York,Closed,7401,0.75,AJ20,Auto
C10006803,27-Jan-25,29-Jan-25,NY,New York,Closed,2945,0.629999995,AJ20,Auto
