VehicleID,ClaimID,VehicleType,DamageSeverity,PartsCost,LaborHours,LaborCost,RepairDays,TotalLoss
V10000012,C10000012,Truck,Low,2401,11,1298,25,FALSE
V10000478,C10000478,Truck,Low,2997,13,1092,25,FALSE
V10000875,C10000875,Truck,Low,4039,34,2244,25,FALSE
V10001191,C10001191,Truck,Low,5627,12,1128,25,FALSE
V10001608,C10001608,Truck,Low,2869,35,3325,25,FALSE
V10001907,C10001907,Truck,Low,4286,5,500,25,FALSE
V10001968,C10001968,Truck,Low,4792,9,711,25,FALSE
V10002166,C10002166,Truck,Low,5439,15,1050,25,FALSE
V10002225,C10002225,Truck,Low,1728,28,3360,25,FALSE
V10002558,C10002558,Truck,Low,4654,6,426,25,FALSE
V10003015,C10003015,Truck,Low,4130,6,396,25,FALSE
V10003333,C10003333,Truck,Low,3192,16,1552,25,FALSE
V10003484,C10003484,Truck,Low,5259,36,2340,25,FALSE
V10003499,C10003499,Truck,Low,1760,14,1372,25,FALSE
V10003738,C10003738,Truck,Low,1425,23,2070,25,FALSE
V10003801,C10003801,Truck,Low,1609,21,1491,25,FALSE
V10003926,C10003926,Truck,Low,2322,16,1536,25,FALSE
V10003934,C10003934,Truck,Low,2211,21,1386,25,FALSE
V10004305,C10004305,Truck,Low,4202,15,1575,25,FALSE
V10004524,C10004524,Truck,Low,4977,7,728,25,FALSE
V10004917,C10004917,Truck,Low,3790,40,3760,25,FALSE
V10005131,C10005131,Truck,Low,4812,24,2640,25,FALSE
V10005365,C10005365,Truck,Low,3838,23,1886,25,FALSE
V10005496,C10005496,Truck,Low,1809,29,2146,25,FALSE
V10005552,C10005552,Truck,Low,906,6,516,25,FALSE
V10005582,C10005582,Truck,Low,4980,38,2736,25,FALSE
V10005974,C10005974,Truck,Low,1705,33,3564,25,FALSE
V10006003,C10006003,Truck,Low,1911,39,4407,25,FALSE
V10006115,C10006115,Truck,Low,5672,9,927,25,FALSE
V10006477,C10006477,Truck,Low,5673,11,1166,25,FALSE
V10006510,C10006510,Truck,Low,3492,34,3638,25,FALSE
V10006591,C10006591,Truck,Low,4742,29,2523,25,FALSE
V10006697,C10006697,Truck,Low,4664,25,2025,25,FALSE
V10006976,C10006976,Truck,Low,3672,23,1840,25,FALSE
